type,broker,price,beds,baths,sqft,address,state,address_full,lat,lon,sub_locality
Condo,Bedford Brownstone Realty LLC,874000,2,2,915,139 Grove St Apt 4F,"Brooklyn, NY 11221","139 Grove St Apt 4FBrooklyn, NY 11221",40.694352,-73.919978,Kings County
Co-op,Douglas Elliman - 575 Madison Ave,875000,2,2,2184,114 E 90th St Unit 1D,"New York, NY 10128","114 E 90th St Unit 1DNew York, NY 10128",40.7821142,-73.9544199,New York County
Co-op,Brown Harris Stevens,975000,2,2,2184,255 W End Ave Apt 7B,"Manhattan, NY 10023","255 W End Ave Apt 7BManhattan, NY 10023",40.7795544,-73.9848893,New York County
Co-op,Douglas Elliman  -111 Fifth Ave,475000,3,1,2184,626 W 136th St Apt 4,"New York, NY 10031","626 W 136th St Apt 4New York, NY 10031",40.8211783,-73.956073,New York County
Co-op,"Nest Seekers International, Midtown",975000,1,1,2184,677 W End Ave Apt 13C,"New York, NY 10025","677 W End Ave Apt 13CNew York, NY 10025",40.7933309,-73.9749909,New York County
Co-op,Big Team Realty,175000,1,1,627,164-20 Highland Ave Unit 9D,"Jamaica, NY 11432","164-20 Highland Ave Unit 9DJamaica, NY 11432",40.7101573,-73.7988498,Queens County
Condo,Douglas Elliman - 1995 Broadway,3000000,1,2,1600,90 Furman St Unit N810,"Brooklyn, NY 11201","90 Furman St Unit N810Brooklyn, NY 11201",40.7015519,-73.995867,Kings County
Condo,Brown Harris Stevens - 445 Park Avenue,2400000,1,2,1427,15 W 53rd St Unit 14G,"Manhattan, NY 10019","15 W 53rd St Unit 14GManhattan, NY 10019",40.7613258,-73.9774014,New York County
House,B Square Realty,988000,4,4,2184,26-50 211th St,"Bayside, NY 11360","26-50 211th StBayside, NY 11360",40.7736469,-73.777944,Queens County
Co-op,EXP Realty,299999,1,1,850,69-09 108th St Unit 312,"Forest Hills, NY 11375","69-09 108th St Unit 312Forest Hills, NY 11375",40.7249599,-73.84549,Queens County
Co-op,BESMATCH REAL ESTATE,120000,2,1,1100,757 E 169th St Apt 2A,"Bronx, NY 10456","757 E 169th St Apt 2ABronx, NY 10456",40.8310613,-73.8998364,Bronx County
Condo,COMPASS,1995000,3,2,1376,128 W 26th St Fl 3,"Manhattan, NY 10001","128 W 26th St Fl 3Manhattan, NY 10001",40.7451522,-73.9927778,New York County
Townhouse,Brown Harris Stevens,1300000,3,2,2184,449 Convent Ave Unit Townhouse,"Manhattan, NY 10031","449 Convent Ave Unit TownhouseManhattan, NY 10031",40.8274367,-73.9438954,New York County
Condo,Douglas Elliman - 575 Madison Ave,1400000,3,2,1625,133 Beach 116th St # F,"Queens, NY 11694","133 Beach 116th St # FQueens, NY 11694",40.5783596,-73.8365039,Queens County
Condo,Corcoran Park Slope,1080000,1,2,941,659 Putnam Ave # 1,"Brooklyn, NY 11221","659 Putnam Ave # 1Brooklyn, NY 11221",40.685976,-73.9349974,Kings County
House,ATLANTIC PROPERTIES REALTY INC,1175000,3,2,2184,3026 Brighton 7th St,"Brooklyn, NY 11235","3026 Brighton 7th StBrooklyn, NY 11235",40.5791234,-73.9613152,Kings County
Co-op,Sotheby's International Realty - East Side Manhattan Brokerage,670000,1,1,2184,400 E 59th St Apt 16B,"New York, NY 10022","400 E 59th St Apt 16BNew York, NY 10022",40.7593483,-73.9617192,New York County
Land,Prestige Homes Ny Inc,75000,3,2,2184,199th St,"Saint Albans, NY 11412","199th StSaint Albans, NY 11412",40.6942163,-73.7530902,New York County
House,Realty Trends Corp,1499000,5,4,3200,64-16 Beach Front Rd,"Arverne, NY 11692","64-16 Beach Front RdArverne, NY 11692",40.5883964,-73.7934995,Queens County
House,Katz Realty,1200000,4,2,2173,16 Monroe Pl,"Staten Island, NY 10314","16 Monroe PlStaten Island, NY 10314",40.5995725,-74.1264046,Richmond County
Multi-family home,Coldwell Banker Reliable Real Estate,3299000,5,3,2184,180 Clermont Ave,"Brooklyn, NY 11205","180 Clermont AveBrooklyn, NY 11205",40.6923306,-73.9709219,Kings County
Multi-family home,R New York,2500000,7,4,2660,439 E 116th St,"New York, NY 10029","439 E 116th StNew York, NY 10029",40.7956068,-73.9338581,New York County
